Career,Prerequisites,Attributes,Skill Choices,Description,Exploits,Years,Source
Academy,,"agi:1,log:1,wil:1,cha:1","carrying, pistols, rifles, leadership, law, [scientific], [technical], tactics, leadership, starship tactics","You joined the military and completed basic military training. Some programs send recruits to college to gain degrees before returning to cadet assignments. The Military Academy is the basic training location for both Naval and Marine officers, and as such covers a wide curriculum along with an opportunity to specialize early in a science, medicine, or engineering career. The Military Academy is regarded as a top-quality institution, easily the equal of many highly placed universities. The Academy is a three-year course, and is widely regarded as the equivalent of a Bachelor's degree.","Basic Training, Command School [requires Basic Training], Branch Specialization [requires Basic Training; one [scientific] skill, Academy Tutor (requires Basic Training), Academy Professor (Requires Academy Tutor)",3,Future
Assassin (archaic),skill:stealth;skill:tracking;skill:[combat],"agi:1,int:1,wil:1,rep:1","[combat], disguise, herbalism, intimidate, perception, stealth thievery",You have mastered the skills of a stealthy killer for hire.,"Create Poison, Death Blow (requires Surprise Attack), Poison Resistance, Quiet Kill, Surprise Attack, Weak Point",1d6,Archaic
Assassin (future),skill:stealth;skill:tracking;skill:[combat],"str:1,agi:1,int:1,rep:1","[combat ], stealth, thievery, perception, intimidate, disguise","A killer for hire, you mastered the skills of assassination.","Killing Blow, Ambush, Weak Point, Sneak",1d6,Future
Archer,attribute:agi:3,"str:1,agi:1,luc:1,rep:1","bows, perception, carousing, survival","You joined the army as an archer, manning walls and front lines in times of war.","Long Shot, Bowyer, Careful Aim, Rapid Shot, Stand Your Ground, Double Shot, Intercepting Shot",1d6,Archaic
Athlete,skill:sport;skill:[physical],"str:1,agi:1,end:1,rep:1","[physical], [sporting], carousing, flirtation, [unarmed combat]","You are a professional athlete, whether that be in a team sport or a track and field event.","Athletic, Runner, Fit, Signing Bonus",1d6,Future
Barbarian,,"str:1,end:1,agi:1,int:1","swords, axes, spears, [physical], [outdoor], hardy, herbalism","Tribal warriors from the very fringes of civilization, barbarians are wild and uncouth. Barbarians exemplify physical prowess and natural prowess, but can feel uncomfortable in enclosed spaces.","Feet Of Foot, Mighty Leap, Set In The Old Ways, Primal Charge (requires Fleet of Foot), Hides & Skins, Leathery Skin, Iron Skin (requires Leathery Skin), Sacred Terrain, Beastly Visage, Scarred Visage (requires Beastly Visage, Leather skin), Keen Senses, Trophy Collection (requires Set In The Old Ways), Reap The Whirlwind, Feral, Natural Serenity (requires Sacred Terrain)",1d6,Archaic
Bartender,,"end:1,int:1,cha:1,luc:1","[social], carousing, perception, brewing, cooking, brawling, clubs",Bartending is a great way to pay the bills. Some make a lifelong career of it.,"Bouncer, Fake ID, Gossip",1d6,Future
Battlepsyche,skill:concentration,"end:1,wil:1,psi:2","[psionic], [combat], concentration, meditatio",Battlepsychs are trained for wartime psionic combat. They specialize in brute-force mental offense.,"Psi-blast, Telekinetic Shield, Psychic Cone, Electrokinetic Blast",1d6,Future
Biopsychic,skill:medicine,"end:1,wil:1,cha:1,psi:1","[psionic], medicine, biology, psychology, concentration, meditation","Biopsychics are dedicated to healing. Known by a variety of names – energy healer, faith healers, psychic surgeons, and more they channel psionic energy into others in order to heal injuries and sickness.","Psychic Healing, Adrenalize, Psychic Resuscitation",1d6,Future
Bounty Hunter,,"agi:1,int:1,log:1,rep:1","tracking, piloting, stealth, computers, perception, intimidate, [combat]",As a bounty hunter you spent time tracking down and capturing wanted criminals.,"Prey, Datamining",1d6,Future
Burglar,skill:stealth,"agi:1,int:1,luc:1,rep:1","climbing, jumping, acrobatics, escape artist, computers, stealth, thievery, appraisal","You become a master thief, able to infiltrate the most secure of locations. Some cat burglars work for hire and conduct industrial espionage, while others prefer to steal valuable artifacts and jewels from museums and high security vaults.","Locksmith, Catburglar, Sixth Sense, Climber (requires Catblurglar), Grand Heist",1d6,Future
College,,"log:1,wil:1,cha:1,rep:1","computers, [scientific], [artistic], [sporting], [social], [technical], [academic]","You attended a civilian college or university and gained formal qualifications in a chosen area of study. Choose a subject, which can be any skill, but is typically a [scientific], [technical], [academic], or [artistic] skill. You can restart this career at any time to gain degrees in additional subjects.","Bachelor, Masters, Doctorate",4,Future
Con Artist,skill:bluffing,"int:1,log:1,cha:1,luc:1","[social], disguise, bribery, forgery, [gaming], appraisal","You honed your skills and learned how to trick others out of their money with charm, lies, bluffs, disguise, and more. Many career criminals combine the craft of the con man with the skills of the burglar.","Grifter, Impersonate, Quick Change, Beguiling",1d6,Future
Craftsman,skill:[crafting];skill:[technical],"str:1,agi:1,log:1,cha:1","[technical], [artistic], [crafting]","You made your living by practising your craft as a carpenter, electrician, mechanic, or other professional skilled worker. You are the backbone of society, representative of all those billions like you who lead ordinary lives.","Handyman, Toolkit, Tradesman, Builder, Fixer",1d6,Future
Detective,,"agi:1,int:2,cha:1","interrogation, pistols, driving, bureaucracy, perception, intimidate, stealth, tracking","You become a detective, expert at spotting clues and finding your man. Even if you leave the profession, you still retain enough contacts to call in favors and request information.","Clues, Criminal Record, Hull Number",1d6,Future
Diplomat,skill:[social],"int:1,cha:2,rep:1","[social], bureaucracy, law, politics, local knowledge",You have represented your planet elsewhere.,"Diplomatic, Diplomatic Pouch, Embassy, Diplomatic Immunity",1d6,Future
Drifter,,"end:1,int:1,cha:1,luc:1","carousing, gaming, flirtation, performing, bluffing, appraisal, thievery","Somehow you lost your way. Drinking, gambling, with no clear objective, you drifted through the fringes of society.",Unseen,1d6,Future
Driver,,"agi:1,int:1,cha:1,rep:1","driving, perception, engineering, carousing",,"Getaway, Racer, Drag Racer, Evasive Driving, Shoot 'n Drive, Yee-haaa!, Defensive Driving",1d6,Modern
Engineer,skill:engineering,"str:1,agi:1,log:1,luc:1","computers, [technical], zero-g, bureaucracy","You became an engineer, proficient at manipulating technology and repairing devices and engines.","Technical Knowledge Base, Jury-rig, Upgrade, Engine-tuner, Engine-master (requires Engine-tuner), Explosives, Saboteur",1d6,Future
Gambler,skill:[gaming],"int:1,cha:1,luc:2","[gaming], [social], thievery","You became an expert gambler, proficient at games of skill and chance.","Lucky Streak, Cheat, Chancer",1d6,Future
Gangster,skill:intimidate,"str:1,int:1,cha:1,rep:1","intimidation, thievery, driving, pistols",Eventually your life of crime led you to better things as you fell into a gang or crew.,"Intimidating, Protection Racket",1d6,Future
Intelligence Officer/Spy,,"agi:1,int:1,cha:1,luc:1","interrogation, [subterfuge skills], computers, pistols, [social], [gaming","You're a spy. This may be Navy Intelligence or some other force. You have a wide remit, dealing with both domestic and external threats, and perform undercover investigations into military and civilian issues.","False Identity, Off The Grid, Safe House, Monologue, Miraculous Escape",1d6,Future
